fr_orig,dms_orig,dms_dest,fr_dest,fr_inmode,dms_mode,fr_outmode,sctg2,trade_type,dist_band,tons_2017,tons_2018,tons_2019,tons_2020,tons_2021,tons_2022,tons_2023,tons_2024,tons_2030,tons_2035,tons_2040,tons_2045,tons_2050,value_2017,value_2018,value_2019,value_2020,value_2021,value_2022,value_2023,value_2024,value_2030,value_2035,value_2040,value_2045,value_2050,current_value_2018,current_value_2019,current_value_2020,current_value_2021,current_value_2022,current_value_2023,current_value_2024,tmiles_2017,tmiles_2018,tmiles_2019,tmiles_2020,tmiles_2021,tmiles_2022,tmiles_2023,tmiles_2024,tmiles_2030,tmiles_2035,tmiles_2040,tmiles_2045,tmiles_2050
,020,020,,,4,,01,1,3,0.015686,0.014251,0.014304,0.013380,0.014099,0.012987,0.014127,0.014100,0.025948,0.030239,0.036129,0.043002,0.049596,0.963741,0.875557,0.878822,0.822084,0.866220,0.797913,0.867985,0.866294,1.594226,1.857841,2.219739,2.641995,3.047167,0.849593,0.836459,0.717702,0.951889,1.080454,1.224120,1.351197,0.005738,0.005213,0.005232,0.004894,0.005157,0.004751,0.005168,0.005158,0.009492,0.011061,0.013216,0.015730,0.018142
,041,061,,,1,,01,1,3,60.903824,61.657617,60.398447,56.226942,62.244575,62.320377,62.496585,61.561863,60.490234,65.057915,71.838669,79.006943,84.521317,264.730042,268.006546,262.533326,244.401086,270.557870,270.887360,271.653282,267.590333,262.932296,282.786587,312.260423,343.418687,367.387961,260.059067,249.878029,213.369078,297.316043,366.808574,383.113135,417.372369,23.731764,24.025487,23.534839,21.909372,24.254201,24.283738,24.352399,23.988175,23.570605,25.350446,27.992632,30.785819,32.934549
,041,069,,,1,,01,1,3,24.143476,24.442294,23.943135,22.289468,24.674976,24.705026,24.774878,24.404336,21.041481,22.474911,24.593756,26.732998,28.261583,104.944206,106.243077,104.073384,96.885407,107.254472,107.385088,107.688715,106.078082,91.460794,97.691468,106.901430,116.200053,122.844340,103.092540,99.056575,84.583708,117.861939,145.410148,151.873597,165.454633,11.720670,11.865734,11.623412,10.820625,11.978691,11.993279,12.027190,11.847307,10.214778,10.910650,11.939262,12.977777,13.719842
,042,020,,,5,,01,1,8,0.000050,0.000051,0.000050,0.000046,0.000051,0.000051,0.000051,0.000051,0.000067,0.000082,0.000100,0.000121,0.000148,0.000746,0.000755,0.000740,0.000689,0.000762,0.000763,0.000766,0.000754,0.001007,0.001225,0.001489,0.001811,0.002202,0.000733,0.000704,0.000601,0.000838,0.001034,0.001080,0.001176,0.000168,0.000172,0.000168,0.000155,0.000172,0.000172,0.000172,0.000172,0.000225,0.000276,0.000337,0.000407,0.000498
,042,061,,,5,,01,1,4,0.000050,0.000051,0.000050,0.000046,0.000051,0.000051,0.000051,0.000051,0.000069,0.000085,0.000107,0.000135,0.000163,0.000261,0.000264,0.000259,0.000241,0.000267,0.000267,0.000268,0.000264,0.000360,0.000444,0.000560,0.000707,0.000853,0.000256,0.000246,0.000210,0.000293,0.000362,0.000378,0.000411,0.000026,0.000027,0.000026,0.000024,0.000027,0.000027,0.000027,0.000027,0.000036,0.000044,0.000056,0.000070,0.000085
,042,062,,,5,,01,1,5,0.000050,0.000051,0.000050,0.000046,0.000051,0.000051,0.000051,0.000051,0.000058,0.000071,0.000088,0.000109,0.000129,0.000121,0.000122,0.000120,0.000112,0.000124,0.000124,0.000124,0.000122,0.000141,0.000172,0.000213,0.000264,0.000313,0.000119,0.000114,0.000098,0.000136,0.000168,0.000175,0.000191,0.000048,0.000049,0.000048,0.000044,0.000049,0.000049,0.000049,0.000049,0.000055,0.000068,0.000084,0.000104,0.000123
,042,064,,,5,,01,1,5,0.000050,0.000051,0.000050,0.000046,0.000051,0.000051,0.000051,0.000051,0.000063,0.000079,0.000099,0.000125,0.000150,0.001241,0.001256,0.001231,0.001146,0.001268,0.001270,0.001273,0.001254,0.001573,0.001956,0.002468,0.003095,0.003733,0.001219,0.001171,0.001000,0.001394,0.001720,0.001796,0.001957,0.000047,0.000048,0.000047,0.000043,0.000048,0.000048,0.000048,0.000048,0.000059,0.000074,0.000093,0.000118,0.000141
,042,069,,,1,,01,1,4,13.217751,13.381344,13.108071,12.202743,13.508730,13.525181,13.563423,13.360563,16.006338,19.615288,24.503653,30.570896,36.436569,20.296930,20.548141,20.128507,18.738303,20.743751,20.769013,20.827737,20.516229,24.579033,30.120869,37.627350,46.944096,55.951314,19.938805,19.158222,16.359070,22.795308,28.123321,29.373396,32.000062,7.098478,7.186334,7.039575,6.553377,7.254746,7.263580,7.284118,7.175174,8.596064,10.534219,13.159473,16.417833,19.567942
,042,069,,,5,,01,1,5,0.000052,0.000053,0.000052,0.000048,0.000053,0.000053,0.000053,0.000053,0.000063,0.000077,0.000096,0.000120,0.000143,0.000118,0.000119,0.000117,0.000109,0.000121,0.000121,0.000121,0.000119,0.000143,0.000175,0.000219,0.000273,0.000325,0.000116,0.000111,0.000095,0.000133,0.000164,0.000171,0.000186,0.000043,0.000044,0.000043,0.000040,0.000044,0.000044,0.000044,0.000044,0.000053,0.000064,0.000080,0.000100,0.000119
,042,081,,,5,,01,1,6,0.000050,0.000051,0.000050,0.000046,0.000051,0.000051,0.000051,0.000051,0.000072,0.000089,0.000111,0.000137,0.000161,0.000191,0.000193,0.000189,0.000176,0.000195,0.000195,0.000196,0.000193,0.000275,0.000340,0.000425,0.000523,0.000614,0.000188,0.000180,0.000154,0.000215,0.000265,0.000276,0.000301,0.000058,0.000059,0.000058,0.000053,0.000059,0.000059,0.000059,0.000059,0.000083,0.000103,0.000129,0.000159,0.000187
,042,089,,,5,,01,1,6,0.000050,0.000051,0.000050,0.000046,0.000051,0.000051,0.000051,0.000051,0.000080,0.000096,0.000119,0.000146,0.000171,0.000318,0.000322,0.000315,0.000294,0.000325,0.000325,0.000326,0.000321,0.000506,0.000613,0.000755,0.000926,0.001088,0.000312,0.000300,0.000256,0.000357,0.000441,0.000460,0.000501,0.000057,0.000058,0.000057,0.000052,0.000058,0.000058,0.000058,0.000058,0.000091,0.000109,0.000135,0.000166,0.000194
